epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.9419,1.79024,3.73099,1.86294,0.14263,0.12868,0.13193,0.08698,2.05108,3.31817,2.11482,0.0700677,0.00332581,0.00332581
2,79.5738,1.71899,3.09918,1.76944,0.87988,0.13598,0.22384,0.1143,2.26722,2.96949,2.39847,0.0399359,0.00652729,0.00652729
3,117.987,1.74024,2.6696,1.76709,0.16697,0.36343,0.31387,0.15409,2.25489,2.91887,2.31862,0.00967202,0.00959677,0.00959677
4,156.294,1.76853,2.54197,1.80353,0.43997,0.43247,0.35644,0.17596,1.83678,2.5975,1.96723,0.009406,0.009406,0.009406
5,194.614,1.69237,2.30256,1.74063,0.75958,0.29174,0.29836,0.13585,2.0347,2.66802,2.22414,0.009208,0.009208,0.009208
6,232.903,1.65991,2.24002,1.73955,0.45405,0.57431,0.50683,0.22227,1.84022,2.10007,1.927,0.00901,0.00901,0.00901
7,271.234,1.63166,2.12627,1.71671,0.62218,0.56441,0.58268,0.29136,1.70289,2.1102,1.99798,0.008812,0.008812,0.008812
8,309.633,1.62028,2.03315,1.69819,0.67358,0.46972,0.56954,0.27751,1.73525,1.90487,1.83261,0.008614,0.008614,0.008614
9,348.114,1.61741,1.99354,1.69518,0.45902,0.52265,0.46707,0.21517,2.02204,2.21961,2.08934,0.008416,0.008416,0.008416
10,386.478,1.60708,1.94573,1.69094,0.67518,0.46803,0.55006,0.25444,1.93673,1.8276,1.97635,0.008218,0.008218,0.008218
11,424.827,1.57089,1.8799,1.67219,0.54896,0.65467,0.60618,0.30397,1.63699,1.66799,1.83367,0.00802,0.00802,0.00802
12,462.66,1.56223,1.83559,1.67185,0.80081,0.20908,0.28585,0.12515,2.21606,2.74064,2.39238,0.007822,0.007822,0.007822
13,497.741,1.54673,1.78551,1.65508,0.77449,0.55338,0.65475,0.3295,1.61396,1.78205,1.85148,0.007624,0.007624,0.007624
14,532.841,1.53858,1.75942,1.64611,0.38183,0.51351,0.42349,0.20187,1.95172,2.25701,2.07364,0.007426,0.007426,0.007426
15,567.736,1.52264,1.76739,1.65026,0.49676,0.44189,0.46905,0.23527,1.88625,2.2066,2.04699,0.007228,0.007228,0.007228
16,602.812,1.50498,1.72105,1.63019,0.5931,0.1,0.11261,0.04996,2.33264,3.73683,2.61213,0.00703,0.00703,0.00703
17,637.903,1.49825,1.68731,1.6232,0.51908,0.69984,0.6866,0.33636,1.57234,1.55148,1.74612,0.006832,0.006832,0.006832
18,673.112,1.48706,1.65554,1.60937,0.43971,0.59015,0.56018,0.25865,1.72462,1.74787,1.84052,0.006634,0.006634,0.006634
19,708.17,1.47504,1.62169,1.60199,0.7115,0.59502,0.7066,0.33107,1.68399,1.48597,1.78556,0.006436,0.006436,0.006436
20,743.319,1.47498,1.61554,1.60509,0.51965,0.68643,0.67065,0.33545,1.64138,1.55115,1.81039,0.006238,0.006238,0.006238
21,778.668,1.43429,1.57325,1.57948,0.64208,0.62471,0.74003,0.37778,1.62448,1.47835,1.74055,0.00604,0.00604,0.00604
22,813.711,1.4562,1.55672,1.57822,0.66134,0.67197,0.73498,0.37481,1.59649,1.39415,1.80548,0.005842,0.005842,0.005842
23,848.609,1.43871,1.54687,1.56926,0.73865,0.65592,0.76112,0.41501,1.55751,1.38849,1.67383,0.005644,0.005644,0.005644
24,883.61,1.44618,1.54156,1.57796,0.67241,0.70579,0.73595,0.40075,1.62524,1.41614,1.72476,0.005446,0.005446,0.005446
25,918.942,1.44655,1.51411,1.56226,0.6646,0.67257,0.77787,0.42895,1.54896,1.26833,1.74214,0.005248,0.005248,0.005248
26,954.222,1.42742,1.5285,1.56772,0.68432,0.6879,0.78675,0.43471,1.48137,1.24154,1.65023,0.00505,0.00505,0.00505
27,989.564,1.43078,1.48956,1.5541,0.58842,0.72897,0.76171,0.41657,1.55442,1.39285,1.69826,0.004852,0.004852,0.004852
28,1024.83,1.41755,1.46908,1.54983,0.45508,0.69921,0.69054,0.37696,1.54478,1.4005,1.71027,0.004654,0.004654,0.004654
29,1060.02,1.40917,1.46953,1.55781,0.75378,0.72085,0.79257,0.41256,1.57974,1.33706,1.68111,0.004456,0.004456,0.004456
30,1095.14,1.38414,1.4477,1.53506,0.64124,0.71939,0.77808,0.37552,1.5701,1.32106,1.67865,0.004258,0.004258,0.004258
31,1130.23,1.39069,1.43153,1.53304,0.56518,0.74884,0.69434,0.34103,1.59909,1.42643,1.65868,0.00406,0.00406,0.00406
32,1165.48,1.37752,1.41753,1.52184,0.57317,0.6084,0.64354,0.34764,1.54565,1.59138,1.6916,0.003862,0.003862,0.003862
33,1200.42,1.3971,1.43111,1.54797,0.70847,0.70596,0.78583,0.38251,1.54322,1.35931,1.67683,0.003664,0.003664,0.003664
34,1235.55,1.36704,1.3975,1.5338,0.60132,0.75295,0.75411,0.43345,1.5619,1.22216,1.68268,0.003466,0.003466,0.003466
35,1270.77,1.36069,1.39683,1.52144,0.67287,0.68589,0.77432,0.42635,1.54651,1.2926,1.65817,0.003268,0.003268,0.003268
36,1307.13,1.36273,1.38628,1.51761,0.54892,0.64609,0.659,0.33949,1.6551,1.4308,1.71497,0.00307,0.00307,0.00307
37,1342.37,1.34497,1.37405,1.51333,0.73339,0.69592,0.80463,0.41279,1.61798,1.31164,1.66418,0.002872,0.002872,0.002872
38,1377.66,1.32995,1.36282,1.49766,0.65544,0.71763,0.7912,0.41543,1.48463,1.29189,1.56813,0.002674,0.002674,0.002674
39,1412.78,1.32807,1.34072,1.48829,0.70105,0.72854,0.78869,0.39851,1.56689,1.26053,1.63282,0.002476,0.002476,0.002476
40,1447.88,1.33351,1.31659,1.48668,0.61048,0.80995,0.80318,0.43607,1.58909,1.23535,1.67967,0.002278,0.002278,0.002278
41,1482,1.37218,1.34026,1.57211,0.71282,0.7149,0.79663,0.43346,1.49244,1.2469,1.66155,0.00208,0.00208,0.00208
42,1515.99,1.35049,1.30667,1.56124,0.64318,0.74778,0.79804,0.4511,1.46906,1.18858,1.58796,0.001882,0.001882,0.001882
43,1550.1,1.31327,1.26242,1.54055,0.71016,0.76414,0.7899,0.43102,1.49197,1.264,1.70128,0.001684,0.001684,0.001684
44,1584.13,1.32819,1.26025,1.54412,0.65152,0.69104,0.75736,0.406,1.54008,1.28775,1.6688,0.001486,0.001486,0.001486
45,1618.14,1.30514,1.22409,1.54319,0.71559,0.64663,0.75418,0.40899,1.49321,1.2837,1.6096,0.001288,0.001288,0.001288
46,1652.16,1.29206,1.20425,1.52122,0.71572,0.69581,0.79687,0.44056,1.47016,1.23828,1.60128,0.00109,0.00109,0.00109
