epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.6376,1.72287,3.66568,1.80098,0.38678,0.16801,0.1912,0.09678,1.9769,3.2527,1.98878,0.0701695,0.0033145,0.0033145
2,66.9957,1.65004,2.87871,1.70529,0.56986,0.44688,0.45105,0.21606,1.91489,2.43299,1.86235,0.0401476,0.0066259,0.0066259
3,99.1107,1.6654,2.4349,1.70177,0.5397,0.39672,0.264,0.10938,2.13714,3.31274,2.16836,0.0101036,0.00991529,0.00991529
4,130.843,1.7379,2.41666,1.78783,0.67182,0.31667,0.27392,0.12367,2.10447,2.83216,2.21425,0.009901,0.009901,0.009901
5,162.864,1.67355,2.17193,1.7293,0.28267,0.1949,0.14926,0.06109,2.77511,3.31773,3.03487,0.009868,0.009868,0.009868
6,194.98,1.6509,2.09356,1.7113,0.55846,0.47083,0.41871,0.21996,1.85176,2.49711,1.92236,0.009835,0.009835,0.009835
7,226.859,1.61898,1.99429,1.69669,0.7756,0.10065,0.09614,0.05009,2.99341,3.80168,3.5237,0.009802,0.009802,0.009802
8,258.745,1.60095,1.92596,1.6661,0.38773,0.29038,0.26652,0.1133,2.36395,2.78368,2.54357,0.009769,0.009769,0.009769
9,290.808,1.5972,1.8889,1.68935,0.53637,0.15364,0.10433,0.04628,2.99338,3.74413,3.51869,0.009736,0.009736,0.009736
10,322.74,1.58547,1.81988,1.66511,0.4881,0.70999,0.71797,0.31293,1.77634,1.66521,1.84826,0.009703,0.009703,0.009703
11,354.665,1.55894,1.77972,1.65034,0.83572,0.21667,0.25771,0.11065,2.32756,2.95542,2.43527,0.00967,0.00967,0.00967
12,386.629,1.56008,1.75172,1.63932,0.63131,0.19259,0.16891,0.07417,2.5931,3.40607,3.07174,0.009637,0.009637,0.009637
13,418.748,1.52394,1.68449,1.62623,0.44548,0.49607,0.46487,0.21385,2.03801,2.08276,2.19737,0.009604,0.009604,0.009604
14,450.807,1.52086,1.69286,1.6207,0.61233,0.68467,0.71554,0.3248,1.7024,1.54624,1.81073,0.009571,0.009571,0.009571
15,482.613,1.50743,1.65464,1.62366,0.26516,0.34057,0.29963,0.13594,2.30584,2.74786,2.45797,0.009538,0.009538,0.009538
16,514.351,1.51087,1.62793,1.61041,0.88396,0.29166,0.3951,0.18553,2.07495,1.98931,2.06442,0.009505,0.009505,0.009505
17,546.301,1.50487,1.63174,1.62389,0.52056,0.31061,0.3214,0.16987,2.0828,2.70287,2.29776,0.009472,0.009472,0.009472
18,578.3,1.49931,1.62127,1.60678,0.63896,0.55125,0.63008,0.29429,1.76159,1.76807,1.90396,0.009439,0.009439,0.009439
19,610.067,1.49247,1.59602,1.60343,0.5107,0.61013,0.58462,0.292,1.8066,1.80008,1.92498,0.009406,0.009406,0.009406
20,642.223,1.48962,1.57921,1.59702,0.57101,0.7265,0.7132,0.3704,1.6205,1.43853,1.73525,0.009373,0.009373,0.009373
21,674.278,1.47701,1.56231,1.58939,0.75599,0.67665,0.77988,0.39781,1.65523,1.35375,1.79477,0.00934,0.00934,0.00934
22,706.082,1.47258,1.54105,1.59093,0.49833,0.67076,0.66123,0.32325,1.66589,1.55712,1.70814,0.009307,0.009307,0.009307
23,737.907,1.45829,1.53257,1.58073,0.85041,0.48596,0.76307,0.33417,1.77169,1.6255,1.81856,0.009274,0.009274,0.009274
24,769.75,1.45267,1.52557,1.57671,0.58115,0.68141,0.73392,0.37228,1.68304,1.50084,1.75368,0.009241,0.009241,0.009241
25,801.775,1.46859,1.51805,1.57737,0.38685,0.51085,0.5295,0.24663,1.92828,2.18846,2.07284,0.009208,0.009208,0.009208
26,833.59,1.46682,1.50594,1.57727,0.70056,0.77947,0.79231,0.34199,1.7167,1.42767,1.75436,0.009175,0.009175,0.009175
27,865.453,1.44409,1.49123,1.56471,0.29266,0.46667,0.36543,0.17874,1.92359,2.5714,2.08236,0.009142,0.009142,0.009142
28,897.232,1.42778,1.46679,1.55118,0.45314,0.43301,0.4167,0.20642,1.9517,2.48746,2.13302,0.009109,0.009109,0.009109
29,929.045,1.44877,1.48418,1.57217,0.60392,0.57992,0.56696,0.26317,2.02452,1.79675,2.2023,0.009076,0.009076,0.009076
30,960.86,1.44057,1.47675,1.56622,0.54706,0.49391,0.53137,0.25574,1.92124,2.01992,2.07265,0.009043,0.009043,0.009043
31,992.781,1.43244,1.45911,1.55504,0.49233,0.19859,0.11891,0.04962,2.67519,4.2873,3.14719,0.00901,0.00901,0.00901
32,1024.61,1.43126,1.4291,1.55955,0.53411,0.52904,0.55066,0.30695,1.78172,1.8589,1.95281,0.008977,0.008977,0.008977
33,1056.43,1.4268,1.44747,1.56221,0.58982,0.52418,0.64932,0.30848,1.69757,1.75956,1.79772,0.008944,0.008944,0.008944
34,1088.23,1.4241,1.42054,1.53816,0.67362,0.64948,0.7207,0.37866,1.60838,1.3148,1.70974,0.008911,0.008911,0.008911
35,1120.08,1.40681,1.40795,1.54015,0.79237,0.66527,0.78047,0.39255,1.7131,1.35963,1.71301,0.008878,0.008878,0.008878
36,1152.04,1.39027,1.40092,1.52551,0.75037,0.54711,0.63739,0.33265,1.72752,1.95514,1.90631,0.008845,0.008845,0.008845
37,1183.91,1.41646,1.42123,1.54832,0.75345,0.69347,0.78703,0.38086,1.72172,1.38275,1.77469,0.008812,0.008812,0.008812
38,1215.91,1.4046,1.40165,1.54744,0.53792,0.48779,0.50807,0.26224,1.8027,2.43542,1.991,0.008779,0.008779,0.008779
39,1247.71,1.40912,1.3805,1.53391,0.6507,0.71305,0.7413,0.39159,1.6789,1.31364,1.69642,0.008746,0.008746,0.008746
40,1279.47,1.39588,1.38278,1.5417,0.54744,0.52732,0.59602,0.31788,1.68598,2.20386,1.8803,0.008713,0.008713,0.008713
41,1311.26,1.3966,1.37567,1.53633,0.62959,0.70754,0.7786,0.39879,1.69483,1.29149,1.78903,0.00868,0.00868,0.00868
42,1343.1,1.41545,1.39229,1.53848,0.65095,0.59335,0.61624,0.26981,1.92893,1.78609,1.97287,0.008647,0.008647,0.008647
43,1375.03,1.37273,1.37525,1.52059,0.6461,0.57315,0.64381,0.30558,1.80655,1.63229,1.94234,0.008614,0.008614,0.008614
44,1406.84,1.39258,1.36766,1.52161,0.53803,0.47134,0.52558,0.26609,1.92483,2.1481,2.08336,0.008581,0.008581,0.008581
45,1438.78,1.38592,1.36953,1.54171,0.78293,0.64284,0.73899,0.37157,1.66111,1.50107,1.75779,0.008548,0.008548,0.008548
46,1470.64,1.37504,1.3545,1.51348,0.64787,0.73429,0.76179,0.38982,1.67817,1.26364,1.76551,0.008515,0.008515,0.008515
47,1502.36,1.37507,1.33517,1.52022,0.60311,0.52431,0.59629,0.31612,1.84488,2.03165,1.99577,0.008482,0.008482,0.008482
48,1534.25,1.37599,1.3601,1.51583,0.8256,0.64851,0.78667,0.42594,1.61379,1.23844,1.69019,0.008449,0.008449,0.008449
49,1566.04,1.37054,1.32007,1.51228,0.66738,0.18148,0.1834,0.07463,2.95609,4.23564,3.44175,0.008416,0.008416,0.008416
50,1597.89,1.38664,1.35,1.51889,0.64438,0.58613,0.61518,0.30853,1.73776,1.88401,1.90261,0.008383,0.008383,0.008383
51,1629.74,1.38381,1.34139,1.5154,0.5772,0.38092,0.50069,0.24404,1.98885,2.54755,2.04002,0.00835,0.00835,0.00835
52,1661.57,1.36338,1.30179,1.50179,0.74849,0.18519,0.16083,0.0572,2.41974,4.12086,2.72268,0.008317,0.008317,0.008317
53,1693.64,1.35079,1.30478,1.49334,0.41489,0.41567,0.4362,0.18268,2.27595,2.77274,2.42104,0.008284,0.008284,0.008284
54,1725.54,1.35841,1.30349,1.49546,0.93711,0.23142,0.30266,0.13276,2.29419,2.84153,2.50611,0.008251,0.008251,0.008251
55,1757.52,1.36487,1.31435,1.49602,0.68238,0.74686,0.79562,0.41553,1.5829,1.26555,1.61643,0.008218,0.008218,0.008218
56,1789.48,1.3486,1.2932,1.49315,0.7243,0.61141,0.68704,0.37529,1.65712,1.79138,1.81369,0.008185,0.008185,0.008185
57,1821.46,1.34843,1.30489,1.49799,0.5439,0.54926,0.6001,0.29609,1.95566,1.88911,2.062,0.008152,0.008152,0.008152
58,1853.25,1.35172,1.29246,1.50086,0.66355,0.74566,0.79773,0.3989,1.57329,1.24858,1.6071,0.008119,0.008119,0.008119
59,1885.28,1.34023,1.29296,1.49726,0.70941,0.76365,0.83185,0.4747,1.49376,1.135,1.57405,0.008086,0.008086,0.008086
60,1917.19,1.34146,1.2824,1.49723,0.57663,0.68486,0.68449,0.35326,1.64721,1.42888,1.71647,0.008053,0.008053,0.008053
61,1949.23,1.33755,1.27519,1.48811,0.80016,0.66635,0.7999,0.41479,1.56956,1.28411,1.60978,0.00802,0.00802,0.00802
62,1981.22,1.33938,1.25567,1.48329,0.72952,0.65859,0.77208,0.4344,1.51209,1.21482,1.63274,0.007987,0.007987,0.007987
63,2013.14,1.33674,1.26641,1.48223,0.7076,0.66183,0.73486,0.39297,1.5699,1.17549,1.71155,0.007954,0.007954,0.007954
64,2045.11,1.32567,1.25855,1.48118,0.7134,0.76235,0.80657,0.45754,1.53394,1.14029,1.60418,0.007921,0.007921,0.007921
65,2076.93,1.33478,1.27859,1.4806,0.63345,0.64345,0.69536,0.3789,1.68031,1.42113,1.7825,0.007888,0.007888,0.007888
66,2108.98,1.34665,1.27701,1.4865,0.72801,0.74937,0.81071,0.44113,1.50939,1.15155,1.61105,0.007855,0.007855,0.007855
67,2140.87,1.3353,1.27494,1.48735,0.78327,0.62236,0.76099,0.40972,1.55493,1.30296,1.66241,0.007822,0.007822,0.007822
68,2172.88,1.32697,1.26618,1.47666,0.61408,0.54027,0.70065,0.37518,1.68075,1.50976,1.70108,0.007789,0.007789,0.007789
69,2204.73,1.3394,1.25057,1.49545,0.86991,0.6953,0.80002,0.40798,1.56864,1.1858,1.65575,0.007756,0.007756,0.007756
70,2236.46,1.33115,1.27476,1.4869,0.49115,0.604,0.60698,0.29637,1.95524,1.99765,1.98062,0.007723,0.007723,0.007723
71,2268.31,1.32288,1.25067,1.47714,0.79575,0.66742,0.78501,0.43699,1.48315,1.20277,1.57972,0.00769,0.00769,0.00769
72,2300.06,1.32256,1.2474,1.47233,0.64015,0.60866,0.652,0.3564,1.69129,1.75035,1.78457,0.007657,0.007657,0.007657
73,2332.01,1.3177,1.22202,1.46638,0.69227,0.70335,0.73559,0.4103,1.52204,1.25453,1.63497,0.007624,0.007624,0.007624
74,2364.03,1.29987,1.21564,1.4527,0.73424,0.65479,0.77164,0.41517,1.58586,1.20067,1.62079,0.007591,0.007591,0.007591
75,2396.05,1.31441,1.22627,1.46848,0.67992,0.72762,0.78699,0.43899,1.51185,1.16267,1.57296,0.007558,0.007558,0.007558
76,2427.83,1.30227,1.22782,1.4562,0.88789,0.69844,0.82108,0.46097,1.43982,1.10338,1.54649,0.007525,0.007525,0.007525
77,2459.8,1.30007,1.21514,1.44933,0.81309,0.68157,0.78356,0.44157,1.53304,1.16479,1.61641,0.007492,0.007492,0.007492
78,2491.83,1.30947,1.22547,1.45962,0.78717,0.73298,0.79706,0.41865,1.51234,1.11457,1.5909,0.007459,0.007459,0.007459
79,2523.67,1.30297,1.20492,1.45022,0.75063,0.69672,0.77804,0.44219,1.45507,1.08235,1.57778,0.007426,0.007426,0.007426
80,2555.6,1.32738,1.24157,1.46874,0.7117,0.7618,0.79314,0.41919,1.51782,1.13516,1.60969,0.007393,0.007393,0.007393
81,2587.59,1.29312,1.19667,1.44874,0.71073,0.806,0.82163,0.45926,1.48876,1.10773,1.57768,0.00736,0.00736,0.00736
82,2619.61,1.30334,1.21512,1.45388,0.76778,0.61938,0.72003,0.38194,1.55873,1.36029,1.68537,0.007327,0.007327,0.007327
83,2651.55,1.30636,1.20612,1.47208,0.66496,0.62437,0.72915,0.39771,1.59584,1.56254,1.72253,0.007294,0.007294,0.007294
84,2683.47,1.32118,1.20613,1.46092,0.7,0.64697,0.67751,0.38243,1.58883,1.55135,1.72101,0.007261,0.007261,0.007261
